1stFlrSF,BsmtFinSF1,GarageArea,GarageYrBlt,GrLivArea,LotArea,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
965,641,300,1979.0,965,7800,5,828,1965,1965
912,0,0,1979.0,1824,9400,6,912,1971,1971
1787,0,748,2001.0,1787,14781,8,1753,2001,2002
1440,133,0,1979.0,1440,12108,4,1440,1955,1955
1032,280,288,1950.0,1252,9600,6,1032,1950,1950
1987,1314,691,1994.0,1987,14303,8,1986,1994,1994
1181,920,588,1974.0,1181,10012,4,1138,1972,1972
962,0,451,2000.0,1792,10261,6,936,2000,2000
864,0,0,1979.0,864,4060,5,864,1922,1950
1128,776,525,1963.0,1128,8700,5,1120,1963,1963
1088,0,1025,2006.0,1959,9000,8,1088,2006,2006
1051,0,442,1966.0,1839,7700,6,756,1966,1966
904,0,408,1966.0,904,7162,5,876,1966,1966
1040,532,484,1977.0,1040,8800,5,1040,1977,2008
918,0,264,1979.0,918,7892,6,918,1979,1979
1520,674,364,1955.0,1520,9600,6,1156,1955,1972
1411,822,544,1977.0,1411,11900,7,1386,1977,1977
1134,319,396,1950.0,2058,9600,6,735,1917,1950
1575,0,432,1966.0,2201,19690,6,697,1966,1966
760,0,397,2003.0,1656,6931,7,746,2003,2004
1494,1443,514,1998.0,1494,16196,7,1482,1998,1998
888,0,476,1980.0,1564,8400,6,650,1980,1981
981,282,576,1979.0,981,10530,6,981,1971,1971
900,0,180,1923.0,1502,10592,6,602,1923,1996
1092,895,299,1957.0,1092,14850,5,1092,1957,1957
848,182,281,1968.0,1520,4500,5,793,1932,2000
1320,328,564,1966.0,1320,11777,5,1164,1966,1966
1836,1039,862,2004.0,1836,11362,8,1836,2004,2005
964,0,308,1960.0,1889,10120,7,925,1910,1950
1130,821,720,1970.0,1130,10800,5,1120,1920,1950
1383,719,834,1996.0,2398,11787,7,1379,1996,1997
1096,297,432,1977.0,1991,11275,6,854,1932,1950
1838,1260,765,2006.0,1838,14601,9,1838,2006,2006
663,371,299,1969.0,1352,9364,6,663,1969,1969
1720,919,527,1996.0,1720,10593,7,1720,1996,1996
858,319,490,1962.0,1716,9247,6,858,1962,1962
999,588,264,1963.0,999,7758,5,999,1962,2001
680,310,420,1993.0,1470,9765,6,680,1993,1993
1132,1024,451,2005.0,1132,7024,4,1132,2005,2005
1163,0,396,1955.0,1674,21780,6,1163,1918,1950
1337,266,511,1998.0,1337,4060,6,1405,1998,1999
1349,0,539,2000.0,1349,8450,7,1349,2000,2001
1148,1148,672,1959.0,1148,7931,5,1148,1959,1959
918,226,440,1978.0,1683,11184,6,918,1978,1978
798,0,0,1979.0,1344,1533,4,546,1970,2008
1696,0,349,1962.0,1696,13673,5,1140,1962,1962
882,0,294,1959.0,882,8339,5,0,1959,1959
1086,0,409,1994.0,1895,10832,7,712,1994,1996
894,0,308,1962.0,894,6600,5,894,1962,1962
876,540,264,1962.0,1812,7590,5,864,1962,1962
980,394,496,1988.0,1714,10421,7,980,1988,1988
1114,814,576,2004.0,1114,13695,6,1114,2003,2004
1689,0,954,2007.0,1689,9849,7,1689,2007,2007
968,368,240,1941.0,1376,9492,5,768,1941,1950
2000,1410,538,1972.0,2704,13860,8,1952,1972,1995
1299,990,531,2001.0,1872,11885,8,1299,2001,2001
858,696,0,1979.0,858,7207,5,858,1958,2008
864,375,660,1989.0,864,6960,4,864,1970,1970
1668,1059,702,2002.0,1668,11248,9,1626,2002,2002
835,108,366,1920.0,835,10625,5,458,1920,1950
1128,812,286,1954.0,1128,9000,5,936,1954,1954
1166,0,240,1936.0,1639,10480,6,1064,1936,1950
1214,698,461,1965.0,1214,9170,5,1214,1965,1965
829,298,441,1968.0,1556,11700,6,727,1968,1968
1364,659,484,2005.0,1364,7052,7,1364,2005,2005
993,0,642,1997.0,2236,13006,7,964,1997,1997
1004,975,504,1977.0,1004,10530,6,975,1977,1977
1121,0,440,2003.0,1121,8546,4,1121,2003,2004
1721,570,440,1968.0,1721,10335,5,1461,1968,1993
1316,0,440,2007.0,1316,11175,7,1316,2007,2007
1324,643,440,1965.0,1324,8658,6,1088,1965,1965
1360,1036,565,1984.0,1360,5814,8,1220,1984,1984
1194,0,312,1959.0,1194,8760,6,1194,1959,1959
1856,1445,834,2010.0,1856,11394,9,1856,2010,2010
900,450,280,1970.0,900,9819,5,882,1967,1967
756,312,240,1940.0,1134,8160,5,756,1940,1950
804,690,560,2001.0,1961,12209,6,804,2001,2002
816,816,816,1985.0,816,6600,5,816,1982,2003
894,492,450,1968.0,894,8724,5,894,1968,1968
546,334,286,1973.0,1092,1974,4,546,1973,1973
1094,500,495,1953.0,1094,10452,6,1094,1953,1953
1811,296,470,1956.0,1811,14115,6,1073,1956,2004
694,0,0,1979.0,1294,10800,4,0,1900,2000
1057,739,645,1998.0,2034,9375,7,1057,1997,1998
1253,733,352,1960.0,1253,10920,6,1253,1960,1960
1298,1216,693,1990.0,2514,11170,7,1216,1990,1991
1154,740,480,1966.0,1154,11000,5,1154,1966,1966
728,0,429,2006.0,1456,15578,6,728,2006,2006
1007,0,463,2000.0,1800,8123,6,982,2000,2000
808,0,180,1916.0,1656,10410,5,660,1916,1987
1268,1163,856,1999.0,2365,9430,8,1252,1999,1999
1436,946,484,2004.0,1436,8450,7,1436,2004,2004
1062,539,539,1976.0,1062,11333,6,1029,1976,1976
1096,626,566,1950.0,1466,10800,5,796,1936,1989
1155,899,576,1987.0,1155,11782,5,1109,1961,1995
1536,810,532,2002.0,1536,9135,7,1536,2002,2003
971,523,300,1969.0,971,9920,5,971,1969,1969
1003,819,588,1984.0,1003,7937,6,1003,1984,1984
1504,690,478,1996.0,1504,11883,7,1504,1996,1996
928,220,400,1948.0,1920,11345,5,928,1948,1950
1242,916,528,1973.0,1242,9600,7,1242,1973,1973
1188,275,252,1941.0,2340,9042,7,1152,1941,2006
1661,0,598,1998.0,1661,12137,7,1649,1998,1998
1113,751,504,1987.0,1113,7917,6,1143,1976,1976
774,384,305,1946.0,1230,4712,4,747,1946,1950
1279,641,473,1980.0,1279,10125,6,1196,1977,1977
1572,1016,726,2003.0,2668,13688,9,1572,2003,2004
848,152,539,1962.0,1208,6240,4,780,1925,1950
1310,24,400,2005.0,1310,8767,7,1310,2005,2005
1264,0,666,2006.0,2576,12438,8,1234,2006,2006
936,936,672,1980.0,936,7200,5,936,1980,1980
841,0,216,1920.0,1647,6858,6,806,1915,1950
1220,684,632,2006.0,1220,7406,7,1199,2006,2006
882,138,461,1980.0,882,7700,5,882,1972,1972
630,0,440,1970.0,1302,2016,5,630,1970,1970
1442,0,500,1990.0,1442,11851,7,1424,1990,1990
1561,1153,556,2005.0,1561,7313,9,1561,2005,2005
1204,866,412,1998.0,1204,4500,6,1204,1998,1998
689,141,360,1928.0,1378,9600,7,689,1928,2005
848,697,420,2004.0,848,4426,6,848,2004,2004
1525,1400,541,2000.0,1525,9100,7,1525,2000,2000
1235,600,480,1961.0,1235,8500,5,1235,1961,1961
616,0,432,2007.0,1412,8499,6,616,2006,2007
1120,0,528,1979.0,2240,7018,5,0,1979,1979
1166,728,590,1992.0,2295,13346,7,1095,1992,2000
1668,370,502,2003.0,1668,10635,8,1657,2003,2003
1614,20,865,2005.0,1614,11210,7,1614,2005,2006
866,329,0,1979.0,866,3880,5,686,1945,1997
1494,0,840,2006.0,1494,10652,7,1494,2006,2007
716,425,432,2004.0,1432,7795,7,716,2004,2005
1058,546,736,2003.0,1904,10927,8,1058,2005,2005
1125,631,352,1977.0,1125,7200,6,1041,1976,1976
1072,547,525,2005.0,1072,3675,6,547,2005,2006
1867,379,303,1955.0,1867,10708,5,1617,1955,1993
810,156,400,1934.0,1482,12155,6,672,1925,1950
1158,0,853,2005.0,2376,14215,8,1158,2005,2006
1048,0,420,1950.0,1048,7200,5,0,1950,1950
902,454,492,1965.0,1820,13700,7,864,1965,1988
520,0,480,2005.0,1200,3180,7,600,2005,2005
2018,0,746,2009.0,2018,13214,9,2002,2008,2009
996,290,0,1979.0,996,13907,5,996,1940,1969
848,686,420,2003.0,848,4435,6,848,2003,2003
874,0,578,2007.0,1761,10207,7,874,2007,2007
1057,417,576,1977.0,1057,7420,5,1057,1962,1962
1593,1153,682,2001.0,1593,4923,8,1593,2001,2002
673,641,490,2000.0,1382,2651,7,673,2000,2000
1391,16,530,2004.0,1391,4282,7,1391,2004,2004
1363,650,288,1951.0,1363,14559,5,1008,1951,2000
1459,0,527,2002.0,1459,8749,7,1459,2002,2002
1652,1196,499,2000.0,1652,5330,8,1494,2000,2000
1026,505,576,1981.0,1026,10970,6,940,1978,1978
1320,0,864,1950.0,2640,11700,7,1240,1880,2003
798,0,520,2004.0,1640,8366,6,798,2004,2004
1108,0,280,1930.0,1108,7449,7,637,1930,1950
693,0,0,1979.0,693,4118,4,693,1941,1950
979,185,352,1950.0,1203,7015,5,709,1950,1950
1572,1159,995,1963.0,1572,35133,5,1572,1963,1963
1560,0,573,2003.0,1560,9196,7,1560,2003,2003
979,484,492,1946.0,1958,7136,6,979,1946,1950
894,180,384,1966.0,894,7094,5,894,1966,1966
1269,24,430,2004.0,1269,3182,8,1256,2004,2005
1428,0,554,2008.0,1428,12274,7,1417,2008,2008
1932,1336,774,2008.0,1932,12444,8,1932,2008,2008
1684,28,564,2005.0,1684,8849,9,1684,2005,2005
1690,1416,841,2003.0,3279,53504,8,1650,2003,2003
816,690,288,1958.0,816,8877,4,816,1938,1958
1216,445,487,1966.0,2157,14200,7,924,1966,1966
804,505,523,1998.0,1682,8750,6,804,1998,1998
698,0,0,1979.0,698,9405,5,698,1947,2008
1687,353,572,1966.0,1687,57200,5,747,1948,1950
612,0,528,2009.0,1224,3951,6,612,2009,2009
1728,40,352,2002.0,1728,10624,5,1728,1964,1964
1141,0,484,2005.0,1141,13072,6,1141,2005,2005
1277,778,526,1970.0,1277,10628,7,1277,1970,1970
772,0,264,1979.0,1123,6060,4,732,1939,1950
2524,1104,542,1981.0,2524,9600,8,2524,1981,1981
1314,24,440,2006.0,1314,9317,6,1314,2006,2006
1328,622,576,1981.0,1981,7804,4,1122,1928,1950
864,167,572,1957.0,864,8172,5,864,1955,1990
912,0,216,1925.0,1426,7642,7,912,1918,1998
1555,0,660,2007.0,1555,3684,7,1373,2007,2007
